,Unnamed: 1,name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,label
All Out 50s,39,He'll Have to Go,Jim Reeves,52,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,0
All Out 50s,40,Cheek To Cheek,Ella Fitzgerald,0,0.648,0.306,0,-13.395,1,0.0883,0.588,0.0,0.252,0.661,122.027,351893,1
All Out 50s,41,Blue Suede Shoes,Elvis Presley,62,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,0.962,95.252,119200,0
All Out 50s,42,"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,49,0.671,0.679,5,-11.237,1,0.142,0.159,0.0,0.158,0.82,166.722,150467,0
All Out 50s,43,Tutti Frutti,Little Richard,64,0.555,0.658,5,-3.866,1,0.0541,0.793,0.0,0.118,0.937,184.835,144227,0
All Out 50s,44,You Send Me,Sam Cooke,0,0.538,0.226,4,-13.817,0,0.0288,0.945,0.0,0.125,0.553,96.951,163560,0
All Out 50s,45,True Love Ways,Buddy Holly,0,0.221,0.124,10,-19.545,1,0.0346,0.8,0.103,0.316,0.276,82.727,168707,0
All Out 50s,46,I Walk the Line,Johnny Cash,66,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805,176533,0
All Out 50s,47,Whole Lot of Shakin' Going On,Jerry Lee Lewis,55,0.377,0.626,0,-9.662,1,0.033,0.832,6.46e-05,0.188,0.678,161.468,172400,0
All Out 50s,48,Twilight Time,The Platters,0,0.408,0.366,9,-10.434,1,0.0296,0.869,0.0,0.267,0.294,77.711,164400,0
All Out 50s,49,Maybellene,Chuck Berry,0,0.762,0.81,0,-10.395,1,0.0818,0.811,0.0,0.139,0.735,117.48,141224,0
All Out 50s,50,Heartbreak Hotel,Elvis Presley,59,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,127560,0
All Out 50s,51,Maybe Baby,The Crickets,0,0.602,0.597,9,-7.73,1,0.0303,0.714,0.0,0.0863,0.866,137.001,121133,0
All Out 50s,52,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,63,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686,129893,0
All Out 50s,53,It Doesn't Matter Anymore,Buddy Holly,0,0.665,0.179,7,-16.727,1,0.0367,0.806,0.0,0.189,0.856,115.203,124000,0
All Out 50s,54,Volare (Nel Blu Di Pinto Di Blu) - Remastered,Dean Martin,63,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,181627,0
All Out 50s,55,Jambalaya (On The Bayou),Hank Williams,57,0.526,0.291,7,-10.694,1,0.0346,0.706,0.0,0.0651,0.886,164.02,172133,0
